currentSection,previousSection,isMerge
", and that
no others shall use or occupy or be permitted to use the demised Premises. The Premises shall only be used for
residential use.","1.
Use: The Premises must be used only as private Premises to live in as the primary residence of the Tenant
and for no other reason. The Premises shall not be used to carry on any type of business or trade. Tenant
covenants that the only persons who will reside within the demised Premises are Tenant and those individuals
named herewith",1
"Section 1 above, and based upon the advice and assistance of the South Carolina
Department of Revenue and the Board of Economic Advisors, as required, County
Council hereby find that:
(a)
Phase I constitutes a ""project"" as that term is defined in the FILOT Act;
(b)
Phase I will serve the purposes of the FILOT Act;
(c)
the investment by the Company in Phase I will be approximately $35
,000,000 to be invested within five (5) years from the end of the property tax year in
which the investor and the County execute the Fee Agreement;
(d)
Phase I will be located entirely within Charleston County;
(e)
Phase I is anticipated to benefit the general public welfare of Charleston
County by providing services, employment, recreation, or other public benefits not
otherwise adequately provided locally;
(f)
Phase I gives rise to no pecuniary liability of the County or no charge
against its general credit or taxing power;
(g)
the purposes to be accomplished by Phase I are proper governmental and
public purposes;
(h)
the inducement of the location of the Project is of paramount importance;
and
(i)
the benefits of Phase I to the public are greater than the cost to the public.","Section 2. Findings by County Council. Based upon their investigation of the
Project and information provided by the Company, including the criteria described in",1
"The Company does hereby lease to the Agency, and the Agency hereby leases from the
Company, the Land described in Exhibit A, including all improvements thereto (but excluding the Lessee's
Property and any Existing Facility Property released pursuant to Section 3.6 of the Lease Agreement), for
the term herein provided and for use as provided in the Lease Agreement. It is the intention of the Company
and the Agency that a leasehold estate in all improvements to the Facility Realty hereafter made by the
Company shall vest in the Agency as and when the same are effected. Accordingly, the Company and the
Agency agree that the Agency shall hold a leasehold estate in all improvements hereafter made by the
Company to the Facility Realty (but excluding the Lessee's Property and any Existing Facility Property
released pursuant to Section 3.6 of the Lease Agreement).","ARTICLE III",1
"The term of this Company Lease shall commence on March [30], 2023 (the
""Commencement Date"") and expire on the earliest of (i) 11:59 p.m. (New York City time) on June 30,","ARTICLE IV",1
"2049, (ii) such earlier date as may be provided in accordance with the terms of the Lease Agreement or (iii)
the termination of the Lease Agreement as provided therein.","The term of this Company Lease shall commence on March [30], 2023 (the
""Commencement Date"") and expire on the earliest of (i) 11:59 p.m. (New York City time) on June 30,",1
"The Company hereby delivers possession to the Agency of the Facility Realty.","ARTICLE VI",1
"The Company covenants and agrees that, so long as the Lease Agreement shall be in full
force and effect, the Agency shall have, hold and enjoy a valid leasehold estate in the Facility Realty during
the term hereof (subject to Permitted Encumbrances), and the Company shall from time to time take all
necessary action to that end.","ARTICLE VII",1
"Except for the Lease Agreement, this Company Lease contains the entire agreement
between the parties hereto with respect to the subject matter hereof, and all prior negotiations and
agreements are merged in this Company Lease. This Company Lease shall only be changed, modified or
discharged in whole or in part by a written instrument executed by the Company and the Agency. No
consent or approval of the Company shall be deemed to have been given or to be effective for any purposes
unless such consent or approval is set forth in a written instrument executed by the Company. No consent
or approval of the Agency shall be deemed to have been given or to be effective for any purposes unless
such consent or approval is set forth in a written instrument executed by the Agency.","ARTICLE VIII",1
"All notices, certificates or other communications hereunder shall be sufficient if sent (i) by
registered or certified United States mail, return receipt requested and postage prepaid, (ii) by a nationally
recognized overnight delivery service for overnight delivery, charges prepaid or (iii) by hand delivery,
addressed, as provided in Section 11.5 of the Lease Agreement.","ARTICLE IX",1
"This Company Lease shall be governed by, and construed and enforced in accordance with,
the laws of the State, without regard or giving effect to the principles of conflicts of laws thereof.
The terms of this Company Lease are and shall be binding upon and inure to the benefit of
the Agency and the Company and their respective successors and assigns.
If any one or more of the provisions of this Company Lease shall be ruled illegal or invalid
by any court of competent jurisdiction, the illegality or invalidity of such provision(s) shall not affect any
of the remaining provisions hereof, but this Company Lease shall be construed and enforced as if such
illegal or invalid provision had not been contained herein.
This Company Lease shall completely and fully supersede all other prior understandings
or agreements, both written and oral, between the Agency and the Company relating to the Facility, other
than the Lease Agreement or any other Project Document.","ARTICLE X",1
"This Company Lease shall become effective upon its delivery on the Commencement Date.
It may be simultaneously executed in several counterparts, each of which shall be an original and all of
which shall constitute but one and the same instrument.
US_154764332v4
- 6 -","ARTICLE XI",1
"This Company Lease is and shall be subject and subordinate in all respects to any Mortgage
and to such mortgage liens and security interests so created thereby; provided, however, that nothing in any
Mortgage shall impair the Agency's ability to enforce its rights hereunder against the Company.","ARTICLE XIII",1
"The Agency and the Company agree that this Company Lease shall be recorded, or caused
to be recorded, by the Agency (at the sole cost and expense of the Company) in the appropriate Office of
the Register of The City of New York.
US_154764332v4
- 7 -","ARTICLE XIV",1
"2.
Term. The term of this Lease shall be for 10 years, commencing on Apr 4, 2019 (the
""Commencement Date"") and ending on Mar 31, 2029.
(Delete the following paragraph if Tenant is not to receive early occupancy.)
Tenant may have possession of the Premises prior to the above stated Commencement Date
only upon completion of Landlord's work, if any, and after Tenant has provided the insurance
documentation called for in this Lease, delivered the security deposit, and placed utilities in
Tenant's name. If Tenant takes such early possession, all terms and conditions of this Lease
shall be instantly in full force and effect upon occupancy except payment of Base Rent as
2
herein described which shall be free during the interim period prior to the Commencement
Date.","1.
Premises.
1.1.
The Landlord hereby leases to the Tenant the area (the ""Premises"") identified on
Schedule A attached hereto and known as 2 within the building identified as The
Kunde - Grimes (the ""Building"") which is part of the larger property known as
Goodwin - Koelpin Industrial, 25 Hill Road, City of Parma, State of New York (""the
""Property""). For purposes of this Lease, the rentable area of the Premises shall be
deemed to be 2500 square feet.
1.2.
The Tenant shall have the right to use in common with the other tenants any common
elements consisting of the bathroom(s), interior corridors, driveways, parking lots,
lawns and other areas common to all tenants (the ""Common Elements"" or ""Common
Areas""). Tenants, its agents, employees and contractors are not allowed access to any
roof area, at any time, without prior written approval of the Landlord. Violations will
require the Tenant to be responsible for all future roof leaks.
1.3.
This Lease does not include any exterior storage and Tenant covenants and agrees that
it will not store or place outside of the Premises, any items of any kind, including, but
not limited to, trash, oil barrels, etc., and that it will dump no oil, other liquids or solids
on the ground or surrounding premises. It is understood and agreed that Tenant is
leasing only the interior of the Premises.
1.4.
Notwithstanding the above, Tenant shall be responsible for removal of its business
waste and may maintain a dumpster in an area specified by Landlord.",0
"3.
Rent.
3.1.
The Tenant shall pay to the Landlord during the term of this Lease, without offset or
deduction and without any prior demand, the following Base Rent (the ""Base Rent""
or ""Annual Rent"") in equal monthly installments in advance on the first day of each
month:
Lease Year
Annual Rent
Monthly Rent","2.
Term. The term of this Lease shall be for 10 years, commencing on Apr 4, 2019 (the
""Commencement Date"") and ending on Mar 31, 2029.
(Delete the following paragraph if Tenant is not to receive early occupancy.)
Tenant may have possession of the Premises prior to the above stated Commencement Date
only upon completion of Landlord's work, if any, and after Tenant has provided the insurance
documentation called for in this Lease, delivered the security deposit, and placed utilities in
Tenant's name. If Tenant takes such early possession, all terms and conditions of this Lease
shall be instantly in full force and effect upon occupancy except payment of Base Rent as
2
herein described which shall be free during the interim period prior to the Commencement
Date.",0
"10.
Waiver of Subrogation Rights. The Landlord, Property Manager and the Tenant and all
parties claiming under them hereby mutually release and discharge each other from all claims
and liabilities arising from or covered by insurance on the Premises or covered by insurance
in connection with property on or activities conducted on the Premises regardless of the cause
of the damage or loss. Each party shall secure from its insurer proof that its respective insurer
honors this provision.","9.
Insurance and Casualty Loss.
9.1. During the term of this Lease the Tenant, at its sole expense and for the mutual benefit
of the Landlord, Buckingham Properties LLC (the ""Property Manager""), and the
Tenant, all of which shall be named insureds on all applicable policies, shall carry
6
and maintain comprehensive public liability insurance, including property damage,
insuring the Landlord, Property Manager, and the Tenant against liability for injury to
persons or property occurring in or about the Premises and the Common Elements or
arising out of ownership, maintenance, use, or occupancy of the Premises and the
Common Elements, in at least the amounts of $2,000,000.00 combined single limit
for bodily injury or property damage. At the execution of this Lease, the Tenant shall
deliver to the Landlord certificates of insurance indicating that this coverage is in ef-
fect as per Certificate of Insurance form attached hereto as Schedule B. Tenant's
policy shall contain a clause providing that the insurer will not cancel the insurance
without giving Landlord thirty (30) days prior written notice.
9.2.
The Landlord shall during the term of this Lease maintain and pay for fire and extend-
ed coverage insurance against risk of all physical loss to the Property, insurance
against loss of rental income from the Property, and comprehensive public liability
insurance, in amount to be reasonably determined by Landlord. Tenant shall pay as
Additional Rent its Pro Rata Share of the Insurance attributable to the Building and/or
Property in which the Premises is located for fire and extended coverage, liability and
loss of rents during the Lease Term.
9.3.
The Tenant shall maintain appropriate levels of insurance upon its leasehold improve-
ments, inventory and equipment and shall provide Landlord with certificates
evidencing such insurance. Neither Landlord nor Property Manager shall have any
liability to Tenant for the damage or destruction of Tenant's leasehold improvements,
inventory, equipment or other personal property.
9.4.
Tenant shall not use the Premises or permit their use for any activity which shall cause
any increase in the premiums for fire and extended coverage insurance upon the
Premises. If Tenant, nonetheless does so, Tenant shall reimburse the Landlord for any
such increase of premiums resulting from the Tenant's use of the Premises.",0
"26.
Integration of Agreement. This Lease is intended and shall be deemed to be the complete
statement of the terms of the agreement between the parties and shall be deemed to have inte-
14
grated all promises, conditions, understandings, representations, and warranties, if any, be-
tween the Landlord and the Tenant.","25.
Binding Effect. This Lease shall be binding upon and enure to the benefit of the Landlord
and the Tenant and their respective heirs, personal representatives, successors, and assigns. If
any term or provision of this Lease shall be determined to be to any extent invalid or uncon-
scionable, then to that extent such term or provision shall be deemed void and unenforceable,
but the remaining terms and provisions of this Lease shall be valid and enforceable.",0
